search URL:,https://patents.google.com/?assignee=Celi&oq=assignee:%28Celi%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2016339347-A1,Proximity Activated Game Based on Motion ,"Tonatium Adrian Gimate Welsh, Manolo Celi","Tonatium Adrian Gimate Welsh, Manolo Celi",2015-05-19,2015-05-19,2016-11-24,,https://patents.google.com/patent/US20160339347A1/en,https://patentimages.storage.googleapis.com/8a/f1/ce/68737ad6cecfa0/US20160339347A1-20161124-D00000.png
WO-9951315-A1,Multistage extraction tower with a static mixture and integrated phase coalescer ,"Celi, Ivo, L.",Antonio M. Celi,1998-04-06,1999-04-03,1999-10-14,,https://patents.google.com/patent/WO1999051315A1/en,
WO-9913130-A1,Method for preparing alkaline metal-containing etching solutions ,Grs Recycling Gmbh & Co. Kg,Antonio Maria Celi,1997-09-10,1998-09-05,1999-03-18,,https://patents.google.com/patent/WO1999013130A1/en,
IT-1250356-B,Method and device for the regeneration of metal-lined plastic waste ,Celi Antonio M.,Antonio M Celi,1991-12-06,1991-12-06,1995-04-07,1995-04-07,https://patents.google.com/patent/IT1250356B/en,
CN-103939938-A,Pulse-combustion type feed-forward optimal control method for fuel gas and combustion-supporting gas pressure ,上海策立工程技术有限公司,薛峰,2014-03-05,2014-03-05,2014-07-23,,https://patents.google.com/patent/CN103939938A/en,
DE-3213595-A1,"Light for tombs (graves, sepulchres) and places of worship ",Antonio M Dipl Ing Celi,Antonio M Dipl Ing Celi,1982-04-13,1982-04-13,1983-11-24,,https://patents.google.com/patent/DE3213595A1/en,
WO-2007009169-A1,Temperature modulating apparatus ,Climate Technologies Pty Ltd,Santo Celi,2005-07-19,2006-07-19,2007-01-25,,https://patents.google.com/patent/WO2007009169A1/en,
CN-106322429-A,Intelligent combustion control method based on online optimization of air-fuel ratio and used for heating furnace ,上海策立工程技术有限公司,"王贇, 吕刚, 李响",2016-08-19,2016-08-19,2017-01-11,,https://patents.google.com/patent/CN106322429A/en,
AU-4979785-A,Evaporative cooler flow control and bleed valve ,Celi Manufacturing Pty Limited,Not Given Name,1984-11-13,1984-11-13,1986-05-22,,https://patents.google.com/patent/AU4979785A/en,
IT-1250553-B,Method for recycling of spent dry cells ,Antonio M Celi,Antonio M Celi,1991-12-20,1991-12-20,1995-04-20,1995-04-20,https://patents.google.com/patent/IT1250553B/en,
